SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WarrantyResidentialUse,WarrantyCommercialUse,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10,ImageURL,InventoryURL,ManualURL,ProductURL,Notes
667570,Honda HSS928APTD Snow Blower,F,0,T,0,YANMAR,Snow Blowers,LARGEWB,T,T,T,HONDA_SPECIAL_60,T,HSS928APTD,3599,Gas,Tool,0,1,1,,,,,,,,,84,,Two-Stage Snow Blowers,Gas,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
668950,Honda HRX-BV Walk-Behind Mower,F,0,T,0,YANMAR,Lawn Mowers,WALKBEHIND,T,T,T,HONDA_SPECIAL_40,T,HRX-BV,1049,Battery,Kit,,0,0,,,,,,,,,5,,,HONDA_BATTERY,T,,,,,,,,,,,,,,5 Year Residential Use,90 Days Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
668960,Honda HRX-BE Walk-Behind Mower,F,0,T,0,YANMAR,Lawn Mowers,WALKBEHIND,T,T,T,HONDA_SPECIAL_40,T,HRX-BE,1299,Battery,Kit,,0,0,,,,,,,,,6,,,HONDA_BATTERY,T,,,,,,,,,,,,,,5 Year Residential Use,90 Days Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
668970,Honda HRC-BE Walk-Behind Mower,F,0,T,0,YANMAR,Lawn Mowers,WALKBEHIND,T,T,T,HONDA_SPECIAL_40,T,HRC-BE,1999,Battery,Kit,,0,0,,,,,,,,,7,,,HONDA_BATTERY,T,,,,,,,,,,,,,,2 Year Residential Use,2 Year Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
663510,Honda EU1000T1AG Generator,F,0,T,0,YANMAR,Generators,HANDHELD,T,T,T,HONDA_SPECIAL_40,T,EU1000T1AG,999,Gas,Tool,,0,0,,,,,,,,,10,,,Gas,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
667780,Honda EU1000IT1AN Generator,F,0,T,0,YANMAR,Generators,HANDHELD,T,T,T,HONDA_SPECIAL_40,T,EU1000IT1AN,999,Gas,Tool,,0,0,,,,,,,,,11,,,Gas,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
668760,Honda EU1000IT1AN1 Generator,F,0,T,0,YANMAR,Generators,HANDHELD,T,T,T,HONDA_SPECIAL_40,T,EU1000IT1AN1,999,Gas,Tool,,0,0,,,,,,,,,12,,,Gas,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
668780,Honda EU2200TAN4 Generator,F,0,T,0,YANMAR,Generators,HANDHELD,T,T,T,HONDA_SPECIAL_40,T,EU2200TAN4,1199,Gas,Tool,,0,0,,,,,,,,,13,,,Gas,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
664240,Honda EU2200ITAN Generator,F,0,T,0,YANMAR,Generators,HANDHELD,T,T,T,HONDA_SPECIAL_40,T,EU2200ITAN,1199,Gas,Tool,,0,0,,,,,,,,,14,,,Gas,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
664250,Honda EU2200ITAN1 Generator - Companion,F,0,T,0,YANMAR,Generators,HANDHELD,T,T,T,HONDA_SPECIAL_40,T,EU2200ITAN1 - Companion,1299,Gas,Tool,,0,0,,,,,,,,,15,,,Gas,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,lb.,,,,,,,,,,,,,,,,,,,,,,,,,
